Title,Genre(s),Year,Cast,Director
"Yellow Submarine","Music, Comedy, Adventure, Animation, Fantasy","1968","Paul Angelis, John Clive, Dick Emery, Geoffrey Hughes","George Dunning"
"10 Things I Hate About You","Comedy, Romance, Drama","1999","Julia Stiles, Heath Ledger, Joseph Gordon-Levitt","Gil Junger"
"The Holdovers","Comedy, Drama","2023","Paul Giamatti, Dominic Sessa, Da'Vine Joy Randolph","Alexander Payne"
"Practical Magic","Comedy, Fantasy, Romance","1998","Sandra Bullock, Nicole Kidman, Stockard Channing, Dianne Wiest","Griffin Dunne"
"Fantastic Mr. Fox","Family, Adventure, Comedy, Animation","2009","George Clooney, Meryl Streep, Jason Schwartzman","Wes Anderson"
"Moonstruck","Drama, Romance, Comedy","1987","Cher, Nicolas Cage","Norman Jewison"
"Heathers","Crime, Comedy","1989","Winona Ryder, Christian Slater","Michael Lehmann"
"Almost Famous","Drama, Music","2000","Billy Crudup, Frances McDormand, Kate Hudson","Cameron Crowe"
"Warm Bodies","Horror, Romance, Comedy","2013","Nicholas Hoult, Teresa Palmer, John Malkovich","Jonathan Levine"
"Barb & Star Go to Vista Del Mar","Comedy","2021","Kristen Wiig, Annie Mumolo, Jamie Dornan","Josh Greenbaum"
"The Wrecking Crew","Music, Documentary","2008","Lou Adler, Herb Alpert, Hal Blaine","Denny Tedesco"
"The Grand Budapest Hotel","Drama, Comedy","2014","Ralph Fiennes, F. Murray Abraham, Tony Revolori, Saoirse Ronan","Wes Anderson"
"Corpse Bride","Animation, Fantasy, Romance","2005","Johnny Depp, Helena Bonham Carter, Emily Watson","Tim Burton"
"Empire Records","Music, Comedy, Drama","1995","Anthony LaPaglia, Liv Tyler, Renée Zellweger","Allan Moyle"
"Kingdom of the Planet of the Apes","Adventure, Science Fiction, Action","2024","Owen Teague, Freya Allan, Kevin Durand, Peter Macon","Wes Ball"
"Raiders of the Lost Ark","Adventure, Action","1981","Harrison Ford, Karen Allen, John Rhys-Davies","Steven Spielberg"
"Lisa Frankenstein","Comedy, Romance, Horror","2024","Kathryn Newton, Cole Sprouse","Zelda Williams"
"Marcel the Shell with Shoes On","Drama, Animation, Fantasy, Comedy, Family","2021","Jenny Slate, Isabella Rosselini, Dean Fleischer Camp","Dean Fleischer Camp"
"The Dead Don't Die","Horror, Comedy","2019","Bill Murray, Adam Driver, Tom Waits","Jim Jarmusch"
"Turtles All the Way Down","Romance, Drama","2024","Isabela Merced, Cree Cicchino, Felix Mallard","Hannah Marks"
"E.T. the Extra-Terrestrial","Science Fiction, Fantasy, Adventure, Family","1982","Henry Thomas, Drew Barrymore","Steven Spielberg"
"Groundhog Day","Comedy, Drama, Fantasy, Romance","1993","Bill Murray, Andie MacDowell, Chris Elliot, Stephen Tobolowsky","Harold Ramis"
"Beetlejuice","Fantasy, Comedy","1988","Michael Keaton, Geena Davis, Alec Baldwin, Winona Ryder, Catherine O'Hara","Tim Burton"
